"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft)"|"Map"|"BGN Date"|"Entry Date"|
"Berkshire Gardens Center"|"606009"|"Park"|"Berkshire"|"MA"|"421804N"|"0732011W"|"879"|"Stockbridge"|""|"27-AUG-2002"
"Berkshire Heights"|"607313"|"Populated Place"|"Berkshire"|"MA"|"421120N"|"0732208W"|"745"|"Great Barrington"|""|"24-FEB-1974"
"Berkshire Heights Reservoir"|"1978639"|"Reservoir"|"Berkshire"|"MA"|"421130N"|"0732237W"|"994"|"Egremont"|""|"16-JAN-2003"
"Berkshire Hills"|"619372"|"Range"|"Berkshire"|"MA"|"421000N"|"0730858W"|"1545"|"Monterey"|""|"24-FEB-1974"
"Berkshire Hills Baptist Church"|"1847465"|"Church"|"Berkshire"|"MA"|"421725N"|"0731433W"|"879"|"East Lee"|""|"13-JUL-1999"
"Berkshire Hills Country Club"|"604030"|"Locale"|"Berkshire"|"MA"|"422817N"|"0731343W"|"1253"|"Pittsfield East"|""|"27-AUG-2002"
"Berkshire Hills Seventh Day Adventist School"|"1978640"|"School"|"Berkshire"|"MA"|"Unknown"|"Unknown"|""|"Pittsfield East"|""|"16-JAN-2003"
"Berkshire Law Library"|"1978641"|"Building"|"Berkshire"|"MA"|"422651N"|"0731509W"|"1033"|"Pittsfield West"|""|"16-JAN-2003"
"Berkshire Mall Shopping Center"|"1978642"|"Locale"|"Berkshire"|"MA"|"422927N"|"0731220W"|"1043"|"Pittsfield East"|""|"16-JAN-2003"
"Berkshire Market Village"|"606010"|"Park"|"Berkshire"|"MA"|"421954N"|"0732159W"|"899"|"Stockbridge"|""|"27-AUG-2002"
